,Tick,Train_Loss,Test_Loss
233,233,0.14032025079228985,0.13795807424599563
234,234,0.13991999603919128,0.13786336416151465
235,235,0.14063861943892578,0.1380895079393697
236,236,0.1404758805214469,0.13796308030927085
237,237,0.14013537453181707,0.1379733810095283
238,238,0.14032841774065102,0.13813122573906814
239,239,0.1416980341744067,0.13783682277047538
240,240,0.14046258290312183,0.1378890506135739
241,241,0.13879165075608155,0.13784272205538867
242,242,0.1419461498509592,0.13941211901544556
243,243,0.1409324839043973,0.1386497711263052
244,244,0.1402622434630323,0.13792023086935523
245,245,0.14088797591515442,0.1377669449259595
246,246,0.1405534648628377,0.13783954641198723
247,247,0.13997714777490985,0.1378666750056957
248,248,0.1404846392905534,0.13787885179849174
249,249,0.14066245885037665,0.13768518879646208
250,250,0.14051761378103228,0.13801840638242116
251,251,0.14098072963864056,0.13779128736596766
252,252,0.1402348673610545,0.13810377271194768
253,253,0.14026528819283443,0.13799223655123052
254,254,0.14044018668025288,0.1378060015963345
255,255,0.14018663563835088,0.13785186870311333
256,256,0.14022639149160526,0.13792053688832415
257,257,0.14006728445416067,0.1380804554233706
258,258,0.14098270459851223,0.13788755044219939
259,259,0.14051315522015984,0.13779314262111012
260,260,0.1402898668798048,0.13783296494464564
261,261,0.1399540827790303,0.1380669367991812
262,262,0.13943010257251226,0.13793911209435966
263,263,0.14073322157361615,0.13799002500084356
264,264,0.14086239417987084,0.1375923142200563
265,265,0.1403550885951341,0.1377931603086673
266,266,0.1401243356626425,0.13799565315731172
267,267,0.1411224283389191,0.1376945753165377
268,268,0.1406807036542181,0.13792934735131457
269,269,0.140799874912447,0.13764530371844283
270,270,0.14030592588346397,0.13823916248189724
271,271,0.1403711095674714,0.13786295795343756
272,272,0.14071857017367634,0.1378971009961958
273,273,0.1398347660676757,0.13791794105758512
274,274,0.13997324700675792,0.13807449253594004
275,275,0.14057694798085227,0.13780952711415484
276,276,0.1405082611895319,0.13795695568972488
277,277,0.14007115386315247,0.13809193186159055
278,278,0.1405448760114499,0.1378569457589126
279,279,0.14056732716845044,0.13771213639557847
280,280,0.1404531366789519,0.13786220029602206
281,281,0.1405017329240913,0.13751796566373933
282,282,0.14039013990715368,0.13790941795682518
283,283,0.1405536719222567,0.1375652705508519
284,284,0.14060209046548872,0.13804520085090544
285,285,0.14066665741934706,0.13785425591759565
286,286,0.1404889717475692,0.13780182442529415
287,287,0.1409046758911503,0.13791329710464167
288,288,0.14078613181612384,0.1375010432751198
289,289,0.14077147952656247,0.13763284840719486
290,290,0.140769902894746,0.13802288230357132
291,291,0.14003253383422964,0.13788922966980352
292,292,0.14014124514451667,0.13820675972515975
293,293,0.14131170110916025,0.13763145181706282
